ticker,iv_annualized,expiry_date,strike,data_source
WMT,0.2565,2026-05-15,132.0,options_chain
HD,0.3336,2026-05-15,325.0,options_chain
MCD,0.2925,2026-05-15,287.5,options_chain
COST,0.2298,2026-05-15,1010.0,options_chain
SBUX,0.292,2026-05-15,106.0,options_chain
NKE,0.3672,2026-05-15,44.5,options_chain
LOW,0.3551,2026-05-15,230.0,options_chain
TGT,0.2899,2026-05-15,129.0,options_chain
KO,0.1987,2026-05-15,79.0,options_chain
PEP,0.24,2026-05-15,157.5,options_chain
PG,0.231,2026-05-15,147.0,options_chain
PM,0.313,2026-05-15,167.5,options_chain
MDLZ,0.2944,2026-05-15,61.0,options_chain
XOM,0.372,2026-05-15,152.5,options_chain
CVX,0.3265,2026-05-15,190.0,options_chain
COP,0.3943,2026-05-15,123.0,options_chain
SLB,0.4033,2026-05-15,57.0,options_chain
EOG,0.4133,2026-05-15,139.0,options_chain
PSX,0.4453,2026-05-15,175.0,options_chain
GE,0.4461,2026-05-15,287.5,options_chain
CAT,0.3899,2026-05-15,890.0,options_chain
BA,0.3803,2026-05-15,227.5,options_chain
RTX,0.311,2026-05-15,175.0,options_chain
HON,0.2625,2026-05-15,212.5,options_chain
UNP,0.2372,2026-05-15,267.5,options_chain
DE,0.3815,2026-05-15,575.0,options_chain
ETN,0.5131,2026-05-15,425.0,options_chain
LMT,0.3356,2026-05-15,515.0,options_chain
NOC,0.3153,2026-05-15,570.0,options_chain
DIS,0.5073,2026-05-15,103.0,options_chain
T,0.2686,2026-05-15,26.0,options_chain
VZ,0.2583,2026-05-15,48.0,options_chain
CMCSA,0.3389,2026-05-15,27.0,options_chain
NFLX,0.3162,2026-05-15,92.0,options_chain
SPY,0.1449,2026-05-15,721.0,options_chain
QQQ,0.2032,2026-05-15,674.0,options_chain
IWM,0.2202,2026-05-15,279.0,options_chain
VTI,0.1553,2026-05-15,355.0,options_chain
VOO,0.1842,2026-05-15,662.5,options_chain
VEA,0.2383,2026-05-15,69.0,options_chain
EEM,0.2827,2026-05-15,64.0,options_chain
TLT,0.1187,2026-05-15,85.5,options_chain
BND,0.0811,2026-05-15,73.0,options_chain
AGG,0.0938,2026-05-15,99.0,options_chain
HYG,0.0862,2026-05-15,80.0,options_chain
XLF,0.2222,2026-05-15,52.0,options_chain
XLE,0.3254,2026-05-15,59.0,options_chain
XLK,0.2883,2026-05-15,162.0,options_chain
XLV,0.4321,2026-05-15,145.0,options_chain
XLI,0.3125,2026-05-15,173.0,options_chain
VNQ,0.1687,2026-05-15,96.0,options_chain
SCHD,0.1309,2026-05-15,32.0,options_chain
VIG,0.1629,2026-05-15,230.0,options_chain
JEPI,0.0894,2026-05-15,57.0,options_chain
ARKK,0.4609,2026-05-15,77.0,options_chain
GLD,0.2499,2026-05-15,423.0,options_chain
IAU,0.2808,2026-05-15,87.0,options_chain
SLV,0.4844,2026-05-15,68.5,options_chain
SPXL,0.4984,2026-05-15,247.5,options_chain
TQQQ,0.5786,2026-05-15,65.0,options_chain
SOXL,1.1729,2026-05-15,130.0,options_chain
