ticker,AAPL,MSFT,NVDA,GOOGL,AMZN,META,TSLA,AVGO,AMD,ORCL,CRM,ADBE,QCOM,TXN,IBM,CSCO,INTU,NOW,INTC,MU,AMAT,PANW,PLTR,SNOW,LLY,UNH,JNJ,ABBV,MRK,AMGN,GILD,REGN,VRTX,MDT,BMY,PFE,SYK,ISRG,TMO,ABT,ELV,CI,ZTS,JPM,BAC,GS,MS,WFC,V,MA,BLK,AXP,C,BRK-B,SPGI,MCO,WMT,HD,MCD,COST,SBUX,NKE,LOW,TGT,KO,PEP,PG,PM,MDLZ,XOM,CVX,COP,SLB,EOG,PSX,GE,CAT,BA,RTX,HON,UNP,DE,ETN,LMT,NOC,DIS,T,VZ,CMCSA,NFLX,SPY,QQQ,IWM,VTI,VOO,VEA,EEM,TLT,BND,AGG,HYG,XLF,XLE,XLK,XLV,XLI,VNQ,SCHD,VIG,JEPI,ARKK,GLD,IAU,SLV,SPXL,TQQQ,SOXL
CRM,0.017777,0.084148,0.024692,0.009238,0.030689,0.025487,0.04603,0.021436,0.011406,0.11053,0.224202,0.161667,0.048494,-0.047186,0.071056,0.00276,0.197192,0.232455,0.011577,0.002164,-0.035908,0.137332,0.1334,0.182181,0.005746,0.013025,-0.035641,-0.013876,-0.029401,-0.01301,-0.022927,-0.016226,0.026088,-0.012018,-0.009364,0.011788,0.000832,0.043979,0.04529,-0.01341,-0.00579,-0.00864,0.041452,0.017223,0.016865,0.016236,0.031905,0.011221,0.02568,0.03894,0.020789,0.042025,0.022739,0.00725,0.079579,0.070194,-0.028547,-0.005413,-0.014063,-0.007155,0.014673,0.025515,-0.009768,0.002977,-0.024637,-0.026942,-0.024958,-0.022989,-0.033083,-0.018136,0.002426,0.011699,-0.012734,0.000616,0.009274,-0.043375,-0.039343,0.003729,-0.020442,-0.009357,-0.030334,-0.043241,-0.049357,-0.000836,-0.01674,0.047705,-0.02743,-0.019788,-0.024855,0.012235,0.016427,0.025475,0.015515,0.017772,0.020931,0.006447,0.007932,0.003797,0.002116,0.002175,0.005456,0.032459,-0.006174,0.044092,0.002787,-0.02236,-0.001179,-0.004173,0.009176,0.002945,0.076178,-0.011618,-0.013053,0.004338,0.057421,0.072713,-0.014713
ADBE,0.026333,0.064949,0.004579,0.02029,0.033876,0.020647,0.033788,0.020845,0.023812,0.080911,0.161667,0.210222,0.070609,-0.024597,0.06871,0.00316,0.179912,0.196986,0.012205,-0.021616,-0.036862,0.109087,0.090533,0.134006,0.01828,0.018418,-0.021446,0.006743,-0.014577,0.002882,-0.000984,-0.000409,0.032497,0.0009,0.001438,0.021485,0.016821,0.055013,0.046432,-0.006493,0.001596,-0.005263,0.054258,0.016223,0.021963,0.012147,0.030174,0.01702,0.033643,0.048092,0.030839,0.044459,0.01923,0.017114,0.083176,0.072826,-0.013303,0.018294,0.013327,0.00459,0.026198,0.030527,0.011127,0.014095,-0.009813,-0.015108,-0.010008,-0.003814,-0.015488,-0.011185,0.002183,0.010984,0.00084,0.012637,0.021435,-0.022286,-0.028805,0.015522,-0.016298,0.000886,-0.013277,-0.019521,-0.041521,0.000895,-0.015696,0.057629,-0.007768,-0.009548,-0.007667,0.026446,0.018257,0.025204,0.016166,0.019488,0.023211,0.01345,0.011436,0.005396,0.003862,0.004399,0.008277,0.036705,0.001799,0.036,0.027457,-0.007902,0.00666,0.005128,0.016753,0.008532,0.059625,-0.016406,-0.018333,-0.009775,0.063434,0.07177,-0.008527
QCOM,0.028004,0.015828,0.035972,0.071696,0.055766,0.002784,0.066082,0.060102,0.15815,0.039454,0.048494,0.070609,0.222124,0.039893,0.033734,0.055948,0.048912,0.074583,0.148542,0.085238,0.112899,0.058217,0.069716,0.034725,0.05167,0.015715,-0.006627,0.02756,-0.005057,0.031112,0.010726,0.026147,0.038579,0.020767,0.036439,0.037365,0.029061,0.052284,0.053698,0.003001,0.021349,0.008726,0.087253,0.040108,0.038117,0.057152,0.056281,0.032105,0.024007,0.013818,0.063174,0.055012,0.050765,0.007246,0.030106,0.040439,0.004034,0.033565,0.014254,0.006983,0.033456,0.043958,0.033978,0.034535,-0.005291,0.005044,0.008225,-0.010393,0.010721,-0.006793,0.004388,0.001105,0.060494,0.019596,0.056759,0.052607,0.07942,0.036235,0.011575,0.03345,0.017617,0.029724,0.091056,-0.000545,-0.00411,0.0873,-0.010828,0.001819,-0.032789,0.009389,0.035147,0.04876,0.050627,0.037894,0.044513,0.050628,0.058036,0.001062,0.003685,0.004544,0.014615,0.039143,0.019743,0.062746,0.065547,0.058461,0.024176,0.023048,0.036604,0.017235,0.093033,0.010259,0.011457,0.036834,0.120834,0.138909,0.268199
TXN,0.021526,-0.018604,0.008962,0.025642,0.025032,0.009281,0.014294,0.029204,0.061523,-0.010012,-0.047186,-0.024597,0.039893,0.123763,-0.017827,0.035111,-0.047949,-0.086246,0.076246,0.07893,0.092077,-0.016332,-0.030915,-0.020982,0.021153,0.015591,0.018821,0.017438,0.02866,0.022877,0.038748,0.036027,0.029592,0.026395,0.02285,0.010744,0.025862,0.02038,-0.018952,0.009394,0.040688,0.0204,0.02663,0.023131,0.019104,0.035277,0.022124,0.021662,0.010793,0.00819,0.033246,0.010131,0.027213,0.015319,-0.003232,-0.001286,0.022288,0.035351,0.022435,0.01552,0.02314,0.013987,0.036629,0.01699,0.014649,0.013735,0.018294,0.020605,0.025949,-0.001274,-0.005864,0.002531,0.029252,0.002694,4e-06,0.04429,0.06474,0.038603,0.012903,0.012191,0.049057,0.043629,0.084064,-0.0135,0.005338,0.028416,0.01597,0.013407,0.040859,-0.000772,0.017876,0.022869,0.029058,0.019568,0.022459,0.023404,0.027304,0.000316,0.001824,0.002583,0.008109,0.018586,0.00502,0.025833,0.046117,0.057245,0.019806,0.021472,0.026532,0.014995,0.026409,0.013192,0.014993,0.022226,0.060462,0.065279,0.213201
IBM,0.015574,0.029758,0.014901,0.023748,0.020917,0.02408,0.032918,0.026476,0.037112,0.055361,0.071056,0.06871,0.033734,-0.017827,0.097032,0.039531,0.090696,0.08744,0.016485,0.018883,0.015008,0.057695,0.08344,0.08628,0.00253,0.010918,-0.014631,0.001724,-0.008051,0.000906,0.007993,0.00069,0.014302,-0.001752,0.009734,0.013506,0.004404,0.02659,0.032247,0.000522,0.001448,-0.004019,0.043313,0.03036,0.031179,0.031253,0.03769,0.023664,0.019782,0.035292,0.030922,0.045679,0.03811,0.012107,0.048955,0.045625,-0.00453,0.015109,0.003265,0.002763,0.013037,0.02436,0.016795,0.014429,-0.008016,-0.00828,-0.010828,-0.010177,-0.014654,-0.010782,0.000201,-0.000201,0.003105,-0.002312,0.009835,0.010541,0.006287,0.011879,0.01215,0.01833,-0.005324,0.002971,0.00912,0.021142,0.002989,0.038552,-0.005175,-0.008629,-0.006853,0.01861,0.016642,0.021376,0.023515,0.018426,0.02132,0.019015,0.01978,0.004152,0.004233,0.004826,0.008931,0.03535,-0.000899,0.031792,0.016009,0.015222,0.01384,0.005171,0.017673,0.007982,0.057922,-0.003572,-0.004064,0.003269,0.057888,0.060993,0.040569
CSCO,0.040662,0.019186,0.042676,0.03128,0.039682,0.025229,0.03957,0.069782,0.140753,0.050981,0.00276,0.00316,0.055948,0.035111,0.039531,0.23088,0.005087,0.010816,0.102984,0.08871,0.138324,0.040768,0.109341,0.050385,-0.00409,0.000524,-0.011308,0.020478,0.010561,0.012039,0.049172,0.012119,0.03511,0.007689,0.022304,0.013518,0.005726,0.034668,0.030211,-0.000689,0.009761,0.026481,0.053299,0.042926,0.047076,0.058372,0.057675,0.045521,0.02736,0.026567,0.052065,0.041131,0.079413,0.001332,0.008975,0.022666,0.009649,0.031306,-0.008444,0.011048,0.042643,0.020579,0.0341,0.036145,-0.003814,0.007175,-0.008004,-0.009294,0.013051,0.009388,0.006738,0.003318,0.041661,0.002776,0.040757,0.039269,0.065995,0.023278,0.009816,0.025876,0.014664,0.043125,0.083324,0.012352,-0.011546,0.056855,-0.003895,-0.002684,0.005719,0.020055,0.031868,0.046098,0.046187,0.034566,0.040652,0.037386,0.045805,-0.005476,-0.002981,-0.002827,0.010099,0.038166,0.019845,0.067875,0.0339,0.057525,0.013192,0.021081,0.036214,0.015718,0.072667,0.015462,0.017191,0.040248,0.110089,0.131777,0.250942
INTU,0.014242,0.09132,0.016789,0.012648,0.025445,0.016377,0.052593,0.022783,-0.024649,0.102225,0.197192,0.179912,0.048912,-0.047949,0.090696,0.005087,0.324444,0.255773,-0.036774,-0.026972,-0.055858,0.14063,0.164556,0.209657,0.009148,0.025062,-0.037976,-0.011261,-0.035716,-0.006473,-0.004085,0.006269,0.02814,-0.007397,-0.009466,0.019559,0.004036,0.063968,0.045308,-0.006476,-0.009097,-0.006885,0.061792,0.011022,0.022389,0.001293,0.030864,0.012118,0.032065,0.052896,0.023012,0.03935,0.02756,0.007706,0.107049,0.093359,-0.02706,-0.005302,0.002025,-0.002515,0.02032,0.032082,-0.01683,0.005882,-0.021339,-0.035018,-0.022939,-0.014591,-0.021212,-0.011522,0.002226,0.010957,-0.008795,0.003365,0.010909,-0.038409,-0.059273,0.019054,-0.015492,-0.01411,-0.031939,-0.060985,-0.059906,-0.008463,-0.016728,0.045203,-0.016533,-0.020902,-0.01927,0.036602,0.016347,0.026028,0.010079,0.01752,0.020781,0.000784,-0.001215,0.006365,0.004423,0.004645,0.007579,0.037524,-0.001615,0.040535,0.012806,-0.027031,0.000596,-0.004068,0.011253,0.004919,0.077891,-0.018131,-0.020503,-0.012827,0.056693,0.074119,-0.053783
NOW,0.015762,0.108831,0.021582,0.020997,0.027869,0.017001,0.060554,0.031242,0.026668,0.146062,0.232455,0.196986,0.074583,-0.086246,0.08744,0.010816,0.255773,0.379086,-0.009226,-0.008624,-0.045539,0.18697,0.196561,0.248775,0.01167,0.019611,-0.043675,-0.006879,-0.050746,-0.019304,-0.026121,-0.014473,0.021907,-0.011948,-0.011336,0.016903,0.003174,0.055688,0.073511,-0.015884,-0.024761,-0.023408,0.056537,0.010276,0.01841,0.01243,0.03773,0.003768,0.025295,0.040919,0.024625,0.055926,0.019454,-0.002008,0.096708,0.091313,-0.025233,0.003599,-0.011303,0.00011,0.011886,0.03379,-0.003376,0.00947,-0.035968,-0.033686,-0.02863,-0.034046,-0.042704,-0.015439,-0.002917,0.001615,-0.001959,0.007235,0.017752,-0.041457,-0.052603,0.02424,-0.016501,-0.006707,-0.056817,-0.052248,-0.064582,0.007599,-0.019983,0.050535,-0.03415,-0.021931,-0.052474,0.01591,0.019256,0.030503,0.017069,0.020847,0.024532,0.012236,0.017511,0.008466,0.006889,0.007595,0.010395,0.03486,-0.004751,0.0524,0.006234,-0.029457,-0.003039,-0.007476,0.009937,0.002997,0.100354,-0.009306,-0.010567,0.001778,0.067295,0.086694,-0.043595
INTC,0.028326,0.029884,0.112818,0.071648,0.080473,0.075446,0.07311,0.124146,0.339611,0.053491,0.011577,0.012205,0.148542,0.076246,0.016485,0.102984,-0.036774,-0.009226,0.718595,0.277606,0.257475,0.075055,0.057331,0.028817,0.015285,0.02967,-0.007038,0.014034,0.024848,0.029691,0.011736,0.009894,0.047131,0.00721,0.01216,0.022147,-0.004207,0.018987,0.044597,-0.015921,0.052234,0.030601,0.038164,0.036311,0.044879,0.06797,0.05628,0.03856,0.03637,0.030031,0.050586,0.028228,0.070212,0.004063,0.006103,0.024704,0.001341,0.024014,-0.034154,0.004583,0.064971,-0.003471,0.01956,0.013746,0.005662,0.005023,0.009458,-0.04655,0.011197,-0.036426,-0.029138,-0.02627,0.078632,-0.00749,0.037836,0.086329,0.101141,0.061145,-0.002865,0.035699,0.00832,0.002283,0.133558,-0.000883,-0.005836,0.050736,-0.045262,-0.042212,-0.08302,0.00435,0.052421,0.086211,0.076485,0.055736,0.067129,0.065019,0.099233,0.001069,0.005087,0.006437,0.022792,0.034611,-0.004144,0.128218,0.046833,0.078467,0.0157,0.015796,0.04405,0.020287,0.111031,0.028701,0.032027,0.0566,0.181829,0.244985,0.61199
MU,0.034059,0.040858,0.145026,0.092313,0.092321,0.083182,0.106487,0.153304,0.284929,0.114951,0.002164,-0.021616,0.085238,0.07893,0.018883,0.08871,-0.026972,-0.008624,0.277606,0.572746,0.341674,0.034543,0.132999,0.091697,0.01664,0.019161,-0.01105,0.008946,0.027327,0.016448,0.068431,0.037589,0.043224,0.033515,-0.002947,0.006194,0.029301,0.076784,0.039044,0.011565,0.028546,0.009621,0.05873,0.03529,0.039728,0.092439,0.076511,0.02119,0.018547,0.01111,0.088292,0.041053,0.075417,-0.018695,0.006433,0.032264,0.001545,0.025778,-0.035923,-0.006851,0.050064,-0.00664,0.011078,0.013912,-0.012509,-0.020628,-0.009263,-0.004993,-0.004074,-0.043416,-0.052908,-0.036068,0.054202,-0.035803,-0.010386,0.110235,0.125807,0.077483,0.044532,0.029188,-0.001385,0.017571,0.188282,0.022289,0.00171,0.035292,-0.0477,-0.042448,-0.038441,0.004489,0.059925,0.097447,0.077078,0.063699,0.07663,0.081225,0.121788,-0.003296,0.002956,0.004619,0.025243,0.031071,-0.021825,0.143287,0.064363,0.098232,0.011688,0.008534,0.047669,0.021231,0.153763,0.04913,0.055083,0.089827,0.206878,0.277383,0.660815
AMAT,0.042323,0.017421,0.132857,0.085582,0.083008,0.085151,0.112268,0.171943,0.301783,0.083772,-0.035908,-0.036862,0.112899,0.092077,0.015008,0.138324,-0.055858,-0.045539,0.257475,0.341674,0.507656,0.013774,0.127496,0.049859,0.022315,0.006742,0.003675,0.023409,0.03842,0.049735,0.069168,0.059983,0.072755,0.035644,0.0351,0.026,0.036691,0.086196,0.059684,0.020051,0.017774,0.012785,0.086267,0.061822,0.061986,0.126976,0.111207,0.058526,0.014775,0.007735,0.116056,0.054758,0.117509,-0.02216,0.008502,0.03563,0.020896,0.060896,-0.00237,0.016155,0.05117,0.029914,0.059031,0.039355,-0.013547,-0.008826,-0.001362,0.006137,-0.001876,-0.043133,-0.041819,-0.043227,0.090241,-0.045952,-0.003005,0.139733,0.173173,0.081279,0.037451,0.056563,0.028289,0.049556,0.231973,0.025537,0.003949,0.084377,-0.043806,-0.048799,-0.02383,0.005826,0.065116,0.098226,0.095641,0.070129,0.083025,0.09678,0.129371,0.003895,0.008096,0.010421,0.029445,0.047988,-0.018357,0.141105,0.086601,0.134213,0.025218,0.018783,0.064452,0.031314,0.164766,0.050586,0.056804,0.106673,0.223457,0.27917,0.705005
